47.530908, 21.618896
47.530884, 21.618896
47.530884, 21.618896
47.530884, 21.618896
47.530884, 21.618896
47.530884, 21.618896
47.530884, 21.618892
47.530884, 21.618892
47.530884, 21.618896
47.530884, 21.618896
47.530884, 21.6189
47.530884, 21.618896
47.530884, 21.6189
47.530884, 21.6189
47.530884, 21.6189
47.530884, 21.618904
47.530884, 21.618904
47.530884, 21.618904
47.530884, 21.618904
47.530884, 21.618904
47.530884, 21.618928
47.530884, 21.618922
47.530884, 21.618922
47.530884, 21.618926
47.530884, 21.618922
47.530884, 21.618926
47.530884, 21.618928
47.530884, 21.618926
47.530884, 21.618928
47.530884, 21.618926
47.53089, 21.618928
47.53089, 21.618928
47.530908, 21.61895
47.530908, 21.618954
47.530908, 21.618954
47.53092, 21.618954
47.53092, 21.618958
47.53092, 21.618954
47.53092, 21.618958
47.53092, 21.618954
47.530932, 21.6189692
47.530932, 21.6189692
47.530932, 21.6189692
47.530932, 21.618966
47.530932, 21.618962
47.530932, 21.618962
47.530932, 21.618954
47.530924, 21.618954
47.530924, 21.618946
47.530924, 21.618946
47.530924, 21.618946
47.530924, 21.61894
47.530924, 21.618936
47.530924, 21.618936
47.530924, 21.618932
47.530924, 21.618932
47.53092, 21.618926
47.53092, 21.618928
47.53092, 21.618926
47.53092, 21.618928
47.53092, 21.618928
47.5309, 21.618922
47.5309, 21.618926
47.530908, 21.618926
47.5309, 21.618926
47.530908, 21.618926
47.5309, 21.618926
47.530908, 21.618928
47.530908, 21.618928
47.530908, 21.618932
47.5309, 21.618922
47.5309, 21.618922
47.5309, 21.618918
47.5309, 21.618922
47.5309, 21.618922
47.5309, 21.618922
47.5309, 21.618922
47.5309, 21.618922
47.5309, 21.618928
47.5309, 21.618928
47.5309, 21.618932
47.530908, 21.618936
47.530908, 21.618936
47.530908, 21.618936
47.530908, 21.61894
47.53092, 21.618946
47.53092, 21.618946
47.530924, 21.618946
47.53086, 21.618908
47.530884, 21.618918
47.530876, 21.618914
47.530876, 21.618914
47.530876, 21.618914
47.530876, 21.618918
47.530884, 21.618918
47.530884, 21.618918
47.530884, 21.618918
47.530884, 21.618918
47.530884, 21.618922
47.530884, 21.618918
47.530884, 21.618922
47.530884, 21.618922
47.530884, 21.618922
47.530884, 21.618922
47.530884, 21.618922
47.530884, 21.618922
47.530884, 21.618922
47.530884, 21.618922
47.530884, 21.618922
47.530884, 21.618922
47.530884, 21.618922
47.530884, 21.618922
47.530884, 21.618922
47.530884, 21.618922
47.530876, 21.618922
47.530876, 21.618922
47.53087, 21.618922
47.53087, 21.618922
47.53087, 21.618922
47.53087, 21.618922
47.53086, 21.618922
47.53085, 21.618922
47.53085, 21.618918
47.53085, 21.618922
47.53085, 21.618918
47.53084, 21.618918
47.53084, 21.618918
47.53084, 21.618914
47.530836, 21.618914
47.530836, 21.618914
47.530836, 21.618914
47.530836, 21.618914
47.530836, 21.618914
47.530836, 21.618914
47.530836, 21.618914
47.530836, 21.618914
47.53084, 21.618914
47.530836, 21.618914
47.53084, 21.618914
47.53084, 21.618914
47.53085, 21.618914
47.53085, 21.618914
47.53085, 21.618922
47.53085, 21.618922
47.53086, 21.618922
47.53086, 21.618922
